content,score,sentimen,content_clean
Gak bisa loginnn woeee,1,0,login
Baik,3,0,
Masa pasport salah terus..gak jelas aplikasi ini,1,0,pasport salah aplikasi
"Hilang nomor sama hilang email susah ngurusnya,,ga bisa buat masuk lgi..parahhhhhhh",1,0,hilang nomor hilang email sulit ngurusnya masuk parah
apa ini ? buang2 kuota internet,1,0,buang kuota internet
Lama proses aktivasinya sudah lebih dari 1 jam gk selesaiÂ² apa janganÂ² petugasnya lgi bobok atau apa?,1,0,proses aktivasinya jam selesai tugas bobok
agak lama nunggu kiriman password.,3,0,tunggu kirim password
"Tolong akses CCTV diperbaiki, skrg tbtb ndak bisa dipakaiğŸ™",2,0,akses cctv baik tbtb pakai
Warga Jogja dikasih vaksin yg biasa (sinovac) warga non jogja malah di kasih vaksin yg bagus (moderna). Sangat memihak ğŸ‘ğŸ‘ğŸ‘,2,0,warga yogyakarta kasih vaksin sinovac warga yogyakarta kasih vaksin bagus moderna
Yg di dalam teras 2 ga bisa di lihat dari aplikasi ini. Jadi kurang bagus....,1,0,teras lihat aplikasi bagus
Pada saat sy aktivasi pertama kali terdapat kesalahan ketik utk NIK sehingga sy dinyatakan sebagai penduduk luar kota Yogyakarta. Harusnya 3471xxx tp kebalik 3741xxx. Untuk pembetulan NIK ini bagaimana caranya? Tanpa harus ganti email dan No HP. Terima kasih,3,0,aktivasi salah ketik nik nyata duduk kota yogyakarta xxx balik xxx betul nik ganti email hp terima kasih
Tombol daftar ny ngumpet dimana,1,0,tombol daftar ngumpet
"Parah,gagal terus di akhir proses",1,0,parah gagal proses
Pendaftaran vaksin gk bs di buka...cm halaman putih aja,1,0,daftar vaksin buka halaman putih
Agak lemot,2,0,lot
"Buka Aplikasi JSS Saat masuk ke Layanan, tidak bisa memakai data seluler, kenapa harus pakai wifi?",2,0,buka aplikasi yogyakarta smart service masuk layan pakai data seluler pakai wifi
Bagus,3,0,bagus
"Kenapa pas permohonan ektp buat yg domisili ktp luar jogja tdk bsa sya cmn mau nunut Cetak ulang krna ktp sya rusak dn itu ktny tdk bsa hrus di tmpt kta tinggl sehrus ny bsa lhoo mnrut pak zudan tp dilapangan nyatanya diputar""",1,0,pas mohon ektp domisili ktp yogyakarta nunut cetak ulang ktp rusak ktny kta tinggl sehrus lhoo mnrut zudan lapang putar
setidaknya jngn prank lah...,1,0,prank
"Buat apa aplikasi ini eg ada fungsinya, sy warga ktp kota jogja sdh pernah menggadu diaplikasi ini, eh mau laporan lagi malah eg bisa ke kirim tolong dibenahi, aku laporan pengajuan lampu baru go akses masjid neng gonku e rung dikabulke",2,0,aplikasi eg fungsi warga ktp kota yogyakarta menggadu aplikasi lapor eg kirim benah lapor aju lampu akses masjid neng gonku rung dikabulke
Tolong buat versi ios untuk pengguna iphone. Makasih,1,0,versi ios guna iphone terima kasih
"Saya sdh wa utk perubahan C1 sdh seminggu perubahan nya blm jg dikirim baik lewat wa atau email, saya komplain lewat wa yg sama ttp tdk ad respon. Terpaksa saya dftar lg utk perubahan ktp dan c1 lg.... lwat fitur jss pun jg akhirnya wa lg dan wa lg ... seperti muter2 saja.",1,0,wa ubah minggu ubah kirim wa email komplain wa respon paksa dftar ubah ktp lwat fitur yogyakarta smart service wa wa putar
Aneh,1,0,aneh
Sudah beberapa warga RT sy yang mencoba fitur pengaduan prasarana PJU kesulitan ketika memilih lokasi...,3,0,warga rt coba fitur adu prasarana pju sulit pilih lokasi
Aplikasi jelek mau login pake nama sendiri masak gak bisa dah di pake orang lain katanya...,1,0,aplikasi jelek login pakai nama masak pakai orang
Gimana cara Promosi jualan ke DODOLAN ko susah bgt lemot,1,0,promosi jual dodol sulit lot
"Ini sangat tidak evektif sekali, bahkan membuat masarakatnya bolak balik, sistem, terlalu riber, saya pikir bisa memangkas waktu dan memudahkan semua urusan yg bersangkutan dengan data diri. Ternyata tidak membantu sama sekali.",1,0,evektif masarakatnya bolak sistem riber pikir mangkas mudah urus sangkut data bantu
Udah download mau login aja susah banget... aplikasi ga guna..,1,0,download login sulit aplikasi
"Saya baru daftar pada jss, sehingga belum mengetahui dan manfaat jss",3,0,daftar yogyakarta smart service manfaat yogyakarta smart service
"Dan pada intinya untuk pengurusan surat di kelurahan/kecamatan tetep menggunakan surat fisik yg akhirnya 2x kerja. Klo memang kepengurusan surat menyurat tidak bisa pake aplikasi ataupun aplikasi belum bisa bekerja secara maksimal tolong di jelaskan detail untuk yg sudah terlaksana atau belum terlaksana itu pengurusan surat apa saja agar ""JELAS"". Biar tidak bikin rancu 2x kerja, jelaskan juga syarat syarat yg harus di upload di aplikasi apa saja itu baru smart service.",1,0,inti urus surat lurah camat surat fisik kerja urus surat surat pakai aplikasi aplikasi maksimal detail laksana laksana urus surat biar rancu kerja syarat syarat upload aplikasi smart service
Slow respon.. pertanyaan saya 1 minggu tidak di jawab.. uninstall aja..,1,0,slow respon minggu uninstall
Aplikasi rusak,1,0,aplikasi rusak
"Mau ngurus ktp hilang, tapi registrasinya suruh foto ktp dan swafoto sambil megang ktp, tolong bikin aplikasi yang logis lah",1,0,urus ktp hilang registrasi suruh foto ktp swafoto megang ktp aplikasi logis
Sering update terus tp sama aja masih sering lemot bikin penyimpanan banyak lagi. Tolong diperbaiki,2,0,update lot simpan baik
ga fungsi...uda daftar gangguan terus,1,0,fungsi daftar ganggu
"Foto profil nya eror ga bisa di ubah, jadi saya ga sengaja klik foto yang salah pas mau di ganti lagi ga bisa padahal udah ada tulisan ""foto profil anda berhasil di ubah"" dan udah saya refreshÂ² juga tetap ga bisa tolong di perbaiki",2,0,foto profil error ubah sengaja klik foto salah pas ganti tulis foto profil hasil ubah refresh baik
"Pernah daftar, mau masuk lagi lupa password, ngga ada bantuan apa gtu biar masuk lagi, susahnyaaa",2,0,daftar masuk lupa password bantu biar masuk susahnyaaa
"Katanya sih udah sukses pendaftaran, tp link dr whatsapp tidak stuck. Percuma dong isi data dr td tp gagal donggggg tetep kudu bikin manual kekantor. Zzzzz",2,0,sukses daftar link whatsapp stuck isi data gagal donggggg manual kantor zzzzz
"Sangat membantu, tetap semangat jogja",3,0,bantu semangat yogyakarta
"mau daftar vaksin buat adik saya di aplikasi jss udah login udah klik tombok vaksinasi suruh daftar lewat wa,nah udah di wa malah di suruh daftar lewat aplikasi jss lagi.buka aplikasi jss juga sering eror eror terus njok masyarakat kon kepiye?saya sebagai warga sangat kecewa dengan aplikasi jss bukannya mempermudah masyarakat melainkan malah mempersulit.mohon lebih di perbaiki lagi.sekian kritikan dari saya semoga di lihat di dengarkan dan di laksanakan untuk perbaikan aplikasinya.Matur SuwunğŸ™",1,0,daftar vaksin adik aplikasi yogyakarta smart service login klik tombok vaksinasi suruh daftar wa wa suruh daftar aplikasi yogyakarta smart service buka aplikasi yogyakarta smart service error error njok masyarakat kon kepiye warga kecewa aplikasi yogyakarta smart service mudah masyarakat sulit mohon baik sekian kritik moga lihat dengar laksana baik aplikasi matur suwun
"Aplikasi cacat,,,log out trus....cape",1,0,aplikasi cacat log out cape
"Mau chat CS nya ga bisa bisa mulu. Cuma layar putih doang, padahal sinyal bagus",2,0,chat cs layar putih doang sinyal bagus
Untuk membuat akun awal selalu gagal di foto KTP apalagi mau mempergunakan aplikasi JJS ğŸ¤¦,1,0,akun gagal foto ktp aplikasi jjs
Kemarin untuk daftar pelatihan bisa Namun untuk pelayanan kel&kec dan beberapa keperluan lain tidak bisa Selalu kembali ke halaman awal,3,0,kemarin daftar latih layan kel kec perlu halaman
Harus lebih ditingkatkan lagi,3,0,tingkat
Untuk wilayah Sleman belum bisa akses..kembangin lagi,3,0,wilayah sleman akses kembangin
aplikasi presensi online kurang merakyat,1,0,aplikasi presensi online rakyat
error terus,1,0,error
Setelah diupdate mlh susah..bgus an kmrin,1,0,diupdate sulit bagus kmrin
Payah... Setelah diupdate malah nge lef terus,1,0,payah diupdate lag
Untuk apa diberi pilihan bayar tetapi tidak ada pilihannya??? Memakai jss supaya cepat malah bikin buang buang waktu,1,0,pilih bayar pilih pakai yogyakarta smart service cepat buang buang
"Cctv nya kurang rata, gabisa mantau cowoku jalan sama selingkuhannya",3,0,cctv mantau cowoku jalan selingkuh
Kok sekarang ngak bisa buat login wifi si kot pemkot pekok,1,0,login wifi kot perintah kota kok
Bad application is difficult to login,1,0,bad aplikasi difficult login
Sering gag konek harus sering meng install ulang.,1,0,connect install ulang
"Pelayanan KTP tdk bisa di klik, layanan WA tdk ada respon, Tanya ke Balai Kota diarahkan lagi ke Jss... Padahal Aplikasinya selalu error",1,0,layan ktp klik layan wa respon balai kota arah yogyakarta smart service aplikasi error
"susah untuk masuk, setiap masuk harus ganti pasword. perbaiki layanannya dong. Bikikn pusing.",2,0,sulit masuk masuk ganti password baik layan pusing
Coba dululah...,3,0,coba dululah
Tul,3,0,
"KTP KU HILANG BAPAK/IBU, MAU LOGIN SWAVIDEO GIMANA KTP ASLINYA AJA HILANG COBA. GANTILAH PAKE KK KAN BISA, BAPAK/IBU. MAKANYA KENAPA SAYA LOGIN KE JSS KARNA INGIN MENGAJUKAN PENGGANTIAN KTP. YAA ALLAH T_T",1,0,ktp hilang login swavideo ktp asli hilang coba ganti pakai login yogyakarta smart service aju ganti ktp allah
kurang cepat responnya,3,0,cepat responnya
Saya mau daftar vaksin kok Gk bisa tlg dibantu...,1,0,daftar vaksin bantu
"Lemot parah , mau daftar vaksin sulit.",1,0,lot parah daftar vaksin sulit
Sinyal kurang baik,3,0,sinyal
"Mau daftar,ngisi data diri, pas foto ktp kok cuma putih semua.. gimana ambil fotonya?",2,0,daftar isi data pas foto ktp putih ambil foto
Tri Krismilah,1,0,tri krismilah
Kecewa banget. Error apa gimana gatau...pas klik pendaftaran vaksin (sebelum daftar) bisa trs kalau mau masuk harus punya akun dulu. Pas udah daftar akun gabisa di klik dong...kesel banget...kukira ngaruh sama jam mulai pukul 8 ternyata sama aja,1,0,kecewa error pas klik daftar vaksin daftar masuk akun pas daftar akun klik kesal kira ngaruh jam
"Tolong untuk WiFi daerah RT 27 RW 06 sangat jelek, bahkan tidak bisa di pakai",2,0,wifi daerah rt rw jelek pakai
Buat daftar pas pegang ktp sama selfie.loding smpe seharian gabisa di prosesssss,1,0,daftar pas pegang ktp selfie loading hari prosesssss
Aplikasi bagus dan udah instal baru sadar kalau ini aplikasi sepertinya hanya untuk jogja kota.kecewa yaaaa..!!!ğŸ˜‚ğŸ˜‚ğŸ˜‚,2,0,aplikasi bagus install sadar aplikasi yogyakarta kota kecewa yaaaa
Gak bisa daftar akun kok minta update. Susah banget daftar akun. Padahal penting banget. Ya weslah...,1,0,daftar akun update sulit daftar akun weslah
saya tidak bisa login padahal udah daftar. gimna ini?,1,0,login daftar
Aplikasi RIBET!!!!Urusan gampang malah dadi rumit...ganti wae wong2an e,1,0,aplikasi ribet urus gampang dadi rumit ganti wae
"Ngurus ktp sejak tanggal 24 juni sampai tanggal 7 juli belu jadi proses ribet sekali ,, bikin ribet malah bikin lama prosesnya",1,0,urus ktp tanggal juni tanggal juli proses ribet ribet proses
Sering bermasalah dan tanda jari tdk muncul shg pegawai gagal finger dan kena potongan TPP,1,0,masalah tanda jari muncul shg pegawai gagal finger kena potong tpp
Awal doang bagus.. Sekarang gk guna banyak bermasalah..,1,0,doang bagus masalah
"Wifinya ndak bisa conect , sering muncul notifikasi : "" situs ini tidak bisa menyediakan jaringan yang aman "" kenapa tuh ?",1,0,wifinya conect muncul notifikasi situs sedia jaring aman
"Kl blm siap dgn sistem online, mending g usah aja.. jujur ini malah lbh lama dan menyulitkan proses nya.. bukannya Simple or praktis tp mlh ribet.. hrs d wa dl petugasnya.. ujungnya suruh isi ulang.. dah lah.. dasar negara berflower.. birokrasi nya emg g bs berubah.. harusnya sih bintang 0 saja.. serius.. ini blibet bgt.. g guna layanan aplikasi onlen ini.. dua bulan coyy ngurusnya.. makan ati.. mending makan ati asli.. ini gawe dongkol",1,0,sistem online mending jujur sulit proses simpel praktis ribet wa tugas ujung suruh isi ulang dasar negara berflower birokrasi ubah bintang serius blibet layan aplikasi online coyy ngurusnya makan ati mending makan ati asli gawe dongkol
Pkay,3,0,oke
Gabisa umum,2,0,
"Saya sudah daftar tapi gagal karena NIK terdeteksi bukan warga DIY. padahal sy DIY asli. Terpaksa, sy un instal krn tdk ada fungsinya",2,0,daftar gagal nik deteksi warga yogyakarta yogyakarta asli paksa install fungsi
CAHYO,3,0,
"Aplikasi yang bukan aplikasi, melainkan shortcut menuju web adress yang diarahkan melalui browser.",1,0,aplikasi aplikasi shortcut web adress arah browser
"Pendaftaran perlu foto KTP dan foto KTP dengan diri sendiri. Aplikasi nasional sejenis peduli lindungi aja ga perlu swafoto diri dengan KTP. Saya ragu pemerintah bisa jaga data. Lagi pula untuk apa swafoto dengan KTP. Salah salah mengamankan data, jika dicuri bisa dijadikan pinjol dan kejahatan lainnya. Sangat tidak ramah dengan privasi",1,0,daftar foto ktp foto ktp aplikasi nasional jenis peduli lindung swafoto ktp ragu perintah jaga data swafoto ktp salah salah aman data curi jadi pinjol jahat ramah privasi
"Sayang , hanya untuk kota,,, semoga kedepan bisa menjangkau wilayah2 yg masuk kedalam DIY. Trimksih,,,ğŸ˜‰",3,0,sayang kota moga jangkau wilayah masuk dalam yogyakarta trimksih
Sering error untk absen pegawai,2,0,error absen pegawai
offline semua.. ğŸ¥±,1,0,offline
ngirim file tidak bisa alias bug masih ada,3,0,kirim file alias bug
Ah aplikasi marai emosi Lemot servernya upload gak selesaiÂ² Niat baik tp server gak baik,2,0,aplikasi mara emosi lot servernya upload selesai niat server
Alah ribet,1,0,alah ribet
Pelayanan yang berbelit belit dan plinplan....,1,0,layan belit belit plinplan
Aplikasi gak jelas masa saat verifikasi gagal terus,1,0,aplikasi verifikasi gagal
Susah aplikasinya.. Ngurus Apa apa harus online kasian untuk orang2 yang gapunya hp.. Saya datang ke capil disuruh download apl ini bukanya dipermudah malah dipersulit.. Dari 3 hr lalu gabisa dibuka tiap tabnya selalu warna putih.. Tolong untuk pegawai pemerintah mohon dengan sangat jangan dipersulit..,1,0,sulit aplikasi urus online kasihan orang hp capil suruh download aplikasi buka mudah sulit buka tabnya warna putih pegawai perintah mohon sulit
Tidak membantu sama sekali....payah,1,0,bantu payah
Gagal buat akun padahal ktp e yg buat pemerintah....lucu apk nya,1,0,gagal akun ktp perintah lucu aplikasi
Lambat sering error,2,0,lambat error
ra mutu,1,0,mutu
Cctv gak bisa terbuka....barusaja pembaharuan,3,0,cctv buka barusaja baru
KENAPA SAAT AKU MAU MASUK KE APK KADANG KADANG GAK BISA . TOLONG DI PERBAIKI YA,2,0,masuk aplikasi kadang kadang baik
"Semua diarahkan ke aplikasi , sedangkan aplikasi belum siap , saya daftar vaksin tidak ada pemberitahuan sms, ada pemberitahuan lewat aplikasi tapi di sore hari hari , padahal vaksinnya siang , trus untuk penjadwalan ulang vaksin kapan ? Diaplikasi untuk pembatalan tiket vaksin aja tidak ada respon sudah ada 1 minggu. Trus saya jadi tidak bisa ikut vaksin di lain tempat , tolong ini min direspon",1,0,arah aplikasi aplikasi daftar vaksin pemberitahuan sms pemberitahuan aplikasi sore vaksin siang jadwal ulang vaksin aplikasi batal tiket vaksin respon minggu vaksin direspon
Semoga lebih baik lagi,3,0,moga
Mau daftar trs mau login tp kk susah gk bisa2 padahal data sudah sesuai Kartu Identitas,2,0,daftar login sulit data sesuai kartu identitas
"Akses sering error,cukup mengecewakan",2,0,akses error kecewa
Tiap masuk wifi pemkot mental terus,1,0,masuk wifi perintah kota mental
"Lek tulong, daftar baru trus udah dapet link tp bar di klik loading terus""an, gaiso login njuk nek arep ngurus opo"" kudu login. Njuk aku nginstal iki gunane kur ngebaki memori?",2,0,lek tulong daftar link bar klik loading gaiso login njuk nek arep urus opo login njuk menginstal gunane kur ngebaki memori
Ra genah masa server pemerintah eror bug sperti ini... Gimana ini programer nya .? Bisa di BUG HUNTER sama Hacker kecolongan data dah,1,0,server perintah error bug programer bug hunter hacker colong data
Gila parah bgt daftar buat ngurus perubahan data aja lama bgt dah dicoba sampek berkali kali tetep aja gak bisa padahal udah pake wifi sampe 2hari parah bgt sampek dateng ke balkot juga ttep gak bsa harus pake jss astagaa gak kelar2 urusan,1,0,gila parah daftar urus ubah data coba kali pakai wifi parah balkot pakai yogyakarta smart service astagaa kelar urus
"Saya kecewa padahal saya asli orang Jogja dr kecil,tapi pas saya daftar katanya nik saya bukan orang Jogja ğŸ˜­ğŸ˜­ğŸ˜­ğŸ˜­ğŸ˜­",2,0,kecewa asli orang yogyakarta pas daftar nik orang yogyakarta
"Aplikasi msh sering trouble,jd msh perlu disempurnakan",3,0,aplikasi trouble sempurna
"Jelek dan sering troble jss, terlihat pemerintah kota sendiri seperti tidak siap dan terkesan di paksakan, dari infrastruktur pendukung, kualitas sdm untuk pengembangan dan perawatan tidak mumpuni di bidangnya. Saran kedepan pemerintah harusnya berfokus pada skil, pengalaman ataupun keterampilan dalam perekrutan SDM, jangan cumua ijasah dan test tertulis doank, karna teori sama praktek beda jauh, kedepan pemkot harus berkaca dari luar negri mereka tidak berfokus pada ijasah tapi skil.",1,0,jelek troble yogyakarta smart service perintah kota kes paksa infrastruktur dukung kualitas sdm kembang awat mumpuni bidang saran perintah fokus skill alam terampil rekrut sdm cumua ijasah test tulis teori praktek beda perintah kota kaca negri fokus ijasah skill
"Aplikasinya sama sekali gak ngebantu...mau login ke linknya ajha susah bener, tulisannya terjadi kesalahan terus, sama gak bisa dibuka.. Tolong apliaksi nya diperbaiki lagi, agar memudahkan masyarakat, sama saja kalau ada aplikasi jss tp tidak bisa digunakan..ujung""nya harus ke balkot jga...",2,0,aplikasi ngebantu login linknya ajha sulit tulis salah buka apliaksi baik mudah masyarakat aplikasi yogyakarta smart service ujung balkot
Payah susah buat login,1,0,payah sulit login
Lama prosesnya,1,0,proses
Bauk,3,0,
Aplikasi rusak,1,0,aplikasi rusak
Siiip,3,0,sip
Kurang bagus...,2,0,bagus
Sudah 8x percobaan mengisi dan meng-upload berkas....sinyal selalu gagal tersambung...!!!!!! Aplikasi cacat..!!!! Pdhal sinyal aman2 saja buat yang Lain.,1,0,coba isi upload berkas sinyal gagal sambung aplikasi cacat sinyal aman
Saya Jafar Nurrohman tunanetra dari Jogja Mohon maaf untuk Jogja Smart Service untuk tunanetra sangat tidak membantu karena banyak sekali fitur-fitur yang tidak di bisa dibuka oleh layanan t a l k b a c k demikian harap dijadikan Pirsa dan Mohon untuk diperbaiki dan disempurnakan kembali,1,0,jafar nurrohman tunanetra yogyakarta mohon maaf yogyakarta smart service tunanetra bantu fitur fitur buka layan harap jadi pirsa mohon baik sempurna
Gakk bisaa terusss !!!,1,0,gakk terusss
Sudah 4 hari daftar masih muter aja blm bisa masuk aplikasi parah jelekny,1,0,daftar putar masuk aplikasi parah jelekny
Diinstal susah banget..bolak balik ke menu..setelah terinstal aplikasinya tidak muncul di layar hp,3,0,diinstal sulit bolak menu terinstal aplikasi muncul layar hp
"Ini mau daftar KTP malah nge direct ke website, tapi di website diarahkan lagi untuk daftar via aplikasi... Mubeng2 jal",1,0,daftar ktp direct website website arah daftar via aplikasi mubeng jal
"Buat 4 akun Sudah 2 hari cuma muter semua belum bisa di gunakan , mohon di perbaiki apanya gitu biar proses pendaftaran ya bisa lebih cepat, kalo belum siap pakai aplikasi mending pakai WA aja dulu kaya kemarin",2,0,akun putar mohon baik apa biar proses daftar cepat pakai aplikasi mending pakai wa kaya kemarin
JSS nya sering tdk konek...ğŸ˜“ğŸ˜“ğŸ˜“,1,0,yogyakarta smart service connect
Aplikasi gak guna sudah terdaftar tp suruh login terus aneh tolong di perbaiki,1,0,aplikasi daftar suruh login aneh baik
"bosok, g guna, daftar ajah dpersulit",1,0,bosok daftar sulit
kok tidak bisa lihat full balasan dari pertanyaan saya ?,2,0,lihat full balas
"Ngurus akta kematian dipersulit... Datang langsung ke dukcapil, disuruh daftar dulu lewat jss.. ini maunya gimana? Sedangkan jss sendiri banyak masalah... Bayar yg banyak gih buat developer nya.. biar kerjanya bener.",1,0,urus akta mati sulit langsung dukcapil suruh daftar yogyakarta smart service mau yogyakarta smart service bayar gih developer biar kerja
"Tidak ada yg bisa menjelaskan, yg jawab robot, untuk saya yg sudah lansia tidak jelas, monggo diperbaiki ada cs yg bisa dihubungi",1,0,robot lansia monggo baik cs hubung
pas mau masuk kenapa minta verifikasi trus si,3,0,pas masuk verifikasi
Stop working di tablet Lenovo saya,1,0,stop working tablet lenovo
"Mau daftar kok susah bgt muter"" trs ke menu utama ğŸ˜–",2,0,daftar sulit putar menu utama
"Mosok warga luar kota jogja, ndak bisa mendaftarkan ortu yang tinggal di kota mau periksa di puskesmas kota",1,0,mosok warga kota yogyakarta daftar ortu tinggal kota periksa puskesmas kota
"Mau update data perkawinan ya Allah ampe dari bulan lalu dicoba trus g bisa , masukin foto kk dll g bisa ğŸ˜£ pusing aing",1,0,update data kawin allah coba masuk foto pusing aing
Masuk susah terlalu rumit sudah bikin akun usser sama password sudah bener tetep aja salah kecewa,1,0,masuk sulit rumit akun usser password salah kecewa
Gak bisa login,1,0,login
