content,score,sentimen
Gak bisa loginnn woeee,1,0
Baik,3,0
Masa pasport salah terus..gak jelas aplikasi ini,1,0
"Hilang nomor sama hilang email susah ngurusnya,,ga bisa buat masuk lgi..parahhhhhhh",1,0
apa ini ? buang2 kuota internet,1,0
Lama proses aktivasinya sudah lebih dari 1 jam gk selesaiÂ² apa janganÂ² petugasnya lgi bobok atau apa?,1,0
agak lama nunggu kiriman password.,3,0
"Tolong akses CCTV diperbaiki, skrg tbtb ndak bisa dipakaiğŸ™",2,0
Warga Jogja dikasih vaksin yg biasa (sinovac) warga non jogja malah di kasih vaksin yg bagus (moderna). Sangat memihak ğŸ‘ğŸ‘ğŸ‘,2,0
Yg di dalam teras 2 ga bisa di lihat dari aplikasi ini. Jadi kurang bagus....,1,0
Pada saat sy aktivasi pertama kali terdapat kesalahan ketik utk NIK sehingga sy dinyatakan sebagai penduduk luar kota Yogyakarta. Harusnya 3471xxx tp kebalik 3741xxx. Untuk pembetulan NIK ini bagaimana caranya? Tanpa harus ganti email dan No HP. Terima kasih,3,0
Tombol daftar ny ngumpet dimana,1,0
"Parah,gagal terus di akhir proses",1,0
Pendaftaran vaksin gk bs di buka...cm halaman putih aja,1,0
Agak lemot,2,0
"Buka Aplikasi JSS Saat masuk ke Layanan, tidak bisa memakai data seluler, kenapa harus pakai wifi?",2,0
Bagus,3,0
"Kenapa pas permohonan ektp buat yg domisili ktp luar jogja tdk bsa sya cmn mau nunut Cetak ulang krna ktp sya rusak dn itu ktny tdk bsa hrus di tmpt kta tinggl sehrus ny bsa lhoo mnrut pak zudan tp dilapangan nyatanya diputar""",1,0
setidaknya jngn prank lah...,1,0
"Buat apa aplikasi ini eg ada fungsinya, sy warga ktp kota jogja sdh pernah menggadu diaplikasi ini, eh mau laporan lagi malah eg bisa ke kirim tolong dibenahi, aku laporan pengajuan lampu baru go akses masjid neng gonku e rung dikabulke",2,0
Tolong buat versi ios untuk pengguna iphone. Makasih,1,0
"Saya sdh wa utk perubahan C1 sdh seminggu perubahan nya blm jg dikirim baik lewat wa atau email, saya komplain lewat wa yg sama ttp tdk ad respon. Terpaksa saya dftar lg utk perubahan ktp dan c1 lg.... lwat fitur jss pun jg akhirnya wa lg dan wa lg ... seperti muter2 saja.",1,0
Aneh,1,0
Sudah beberapa warga RT sy yang mencoba fitur pengaduan prasarana PJU kesulitan ketika memilih lokasi...,3,0
Aplikasi jelek mau login pake nama sendiri masak gak bisa dah di pake orang lain katanya...,1,0
Gimana cara Promosi jualan ke DODOLAN ko susah bgt lemot,1,0
"Ini sangat tidak evektif sekali, bahkan membuat masarakatnya bolak balik, sistem, terlalu riber, saya pikir bisa memangkas waktu dan memudahkan semua urusan yg bersangkutan dengan data diri. Ternyata tidak membantu sama sekali.",1,0
Udah download mau login aja susah banget... aplikasi ga guna..,1,0
"Saya baru daftar pada jss, sehingga belum mengetahui dan manfaat jss",3,0
"Dan pada intinya untuk pengurusan surat di kelurahan/kecamatan tetep menggunakan surat fisik yg akhirnya 2x kerja. Klo memang kepengurusan surat menyurat tidak bisa pake aplikasi ataupun aplikasi belum bisa bekerja secara maksimal tolong di jelaskan detail untuk yg sudah terlaksana atau belum terlaksana itu pengurusan surat apa saja agar ""JELAS"". Biar tidak bikin rancu 2x kerja, jelaskan juga syarat syarat yg harus di upload di aplikasi apa saja itu baru smart service.",1,0
Slow respon.. pertanyaan saya 1 minggu tidak di jawab.. uninstall aja..,1,0
Aplikasi rusak,1,0
"Mau ngurus ktp hilang, tapi registrasinya suruh foto ktp dan swafoto sambil megang ktp, tolong bikin aplikasi yang logis lah",1,0
Sering update terus tp sama aja masih sering lemot bikin penyimpanan banyak lagi. Tolong diperbaiki,2,0
ga fungsi...uda daftar gangguan terus,1,0
"Foto profil nya eror ga bisa di ubah, jadi saya ga sengaja klik foto yang salah pas mau di ganti lagi ga bisa padahal udah ada tulisan ""foto profil anda berhasil di ubah"" dan udah saya refreshÂ² juga tetap ga bisa tolong di perbaiki",2,0
"Pernah daftar, mau masuk lagi lupa password, ngga ada bantuan apa gtu biar masuk lagi, susahnyaaa",2,0
"Katanya sih udah sukses pendaftaran, tp link dr whatsapp tidak stuck. Percuma dong isi data dr td tp gagal donggggg tetep kudu bikin manual kekantor. Zzzzz",2,0
"Sangat membantu, tetap semangat jogja",3,0
"mau daftar vaksin buat adik saya di aplikasi jss udah login udah klik tombok vaksinasi suruh daftar lewat wa,nah udah di wa malah di suruh daftar lewat aplikasi jss lagi.buka aplikasi jss juga sering eror eror terus njok masyarakat kon kepiye?saya sebagai warga sangat kecewa dengan aplikasi jss bukannya mempermudah masyarakat melainkan malah mempersulit.mohon lebih di perbaiki lagi.sekian kritikan dari saya semoga di lihat di dengarkan dan di laksanakan untuk perbaikan aplikasinya.Matur SuwunğŸ™",1,0
"Aplikasi cacat,,,log out trus....cape",1,0
"Mau chat CS nya ga bisa bisa mulu. Cuma layar putih doang, padahal sinyal bagus",2,0
Untuk membuat akun awal selalu gagal di foto KTP apalagi mau mempergunakan aplikasi JJS ğŸ¤¦,1,0
Kemarin untuk daftar pelatihan bisa Namun untuk pelayanan kel&kec dan beberapa keperluan lain tidak bisa Selalu kembali ke halaman awal,3,0
Harus lebih ditingkatkan lagi,3,0
Untuk wilayah Sleman belum bisa akses..kembangin lagi,3,0
aplikasi presensi online kurang merakyat,1,0
error terus,1,0
Setelah diupdate mlh susah..bgus an kmrin,1,0
Payah... Setelah diupdate malah nge lef terus,1,0
Untuk apa diberi pilihan bayar tetapi tidak ada pilihannya??? Memakai jss supaya cepat malah bikin buang buang waktu,1,0
"Cctv nya kurang rata, gabisa mantau cowoku jalan sama selingkuhannya",3,0
Kok sekarang ngak bisa buat login wifi si kot pemkot pekok,1,0
Bad application is difficult to login,1,0
Sering gag konek harus sering meng install ulang.,1,0
"Pelayanan KTP tdk bisa di klik, layanan WA tdk ada respon, Tanya ke Balai Kota diarahkan lagi ke Jss... Padahal Aplikasinya selalu error",1,0
"susah untuk masuk, setiap masuk harus ganti pasword. perbaiki layanannya dong. Bikikn pusing.",2,0
Coba dululah...,3,0
Tul,3,0
"KTP KU HILANG BAPAK/IBU, MAU LOGIN SWAVIDEO GIMANA KTP ASLINYA AJA HILANG COBA. GANTILAH PAKE KK KAN BISA, BAPAK/IBU. MAKANYA KENAPA SAYA LOGIN KE JSS KARNA INGIN MENGAJUKAN PENGGANTIAN KTP. YAA ALLAH T_T",1,0
kurang cepat responnya,3,0
Saya mau daftar vaksin kok Gk bisa tlg dibantu...,1,0
"Lemot parah , mau daftar vaksin sulit.",1,0
Sinyal kurang baik,3,0
"Mau daftar,ngisi data diri, pas foto ktp kok cuma putih semua.. gimana ambil fotonya?",2,0
Tri Krismilah,1,0
Kecewa banget. Error apa gimana gatau...pas klik pendaftaran vaksin (sebelum daftar) bisa trs kalau mau masuk harus punya akun dulu. Pas udah daftar akun gabisa di klik dong...kesel banget...kukira ngaruh sama jam mulai pukul 8 ternyata sama aja,1,0
"Tolong untuk WiFi daerah RT 27 RW 06 sangat jelek, bahkan tidak bisa di pakai",2,0
Buat daftar pas pegang ktp sama selfie.loding smpe seharian gabisa di prosesssss,1,0
Aplikasi bagus dan udah instal baru sadar kalau ini aplikasi sepertinya hanya untuk jogja kota.kecewa yaaaa..!!!ğŸ˜‚ğŸ˜‚ğŸ˜‚,2,0
Gak bisa daftar akun kok minta update. Susah banget daftar akun. Padahal penting banget. Ya weslah...,1,0
saya tidak bisa login padahal udah daftar. gimna ini?,1,0
Aplikasi RIBET!!!!Urusan gampang malah dadi rumit...ganti wae wong2an e,1,0
"Ngurus ktp sejak tanggal 24 juni sampai tanggal 7 juli belu jadi proses ribet sekali ,, bikin ribet malah bikin lama prosesnya",1,0
Sering bermasalah dan tanda jari tdk muncul shg pegawai gagal finger dan kena potongan TPP,1,0
Awal doang bagus.. Sekarang gk guna banyak bermasalah..,1,0
"Wifinya ndak bisa conect , sering muncul notifikasi : "" situs ini tidak bisa menyediakan jaringan yang aman "" kenapa tuh ?",1,0
"Kl blm siap dgn sistem online, mending g usah aja.. jujur ini malah lbh lama dan menyulitkan proses nya.. bukannya Simple or praktis tp mlh ribet.. hrs d wa dl petugasnya.. ujungnya suruh isi ulang.. dah lah.. dasar negara berflower.. birokrasi nya emg g bs berubah.. harusnya sih bintang 0 saja.. serius.. ini blibet bgt.. g guna layanan aplikasi onlen ini.. dua bulan coyy ngurusnya.. makan ati.. mending makan ati asli.. ini gawe dongkol",1,0
Pkay,3,0
Gabisa umum,2,0
"Saya sudah daftar tapi gagal karena NIK terdeteksi bukan warga DIY. padahal sy DIY asli. Terpaksa, sy un instal krn tdk ada fungsinya",2,0
CAHYO,3,0
"Aplikasi yang bukan aplikasi, melainkan shortcut menuju web adress yang diarahkan melalui browser.",1,0
"Pendaftaran perlu foto KTP dan foto KTP dengan diri sendiri. Aplikasi nasional sejenis peduli lindungi aja ga perlu swafoto diri dengan KTP. Saya ragu pemerintah bisa jaga data. Lagi pula untuk apa swafoto dengan KTP. Salah salah mengamankan data, jika dicuri bisa dijadikan pinjol dan kejahatan lainnya. Sangat tidak ramah dengan privasi",1,0
"Sayang , hanya untuk kota,,, semoga kedepan bisa menjangkau wilayah2 yg masuk kedalam DIY. Trimksih,,,ğŸ˜‰",3,0
Sering error untk absen pegawai,2,0
offline semua.. ğŸ¥±,1,0
ngirim file tidak bisa alias bug masih ada,3,0
Ah aplikasi marai emosi Lemot servernya upload gak selesaiÂ² Niat baik tp server gak baik,2,0
Alah ribet,1,0
Pelayanan yang berbelit belit dan plinplan....,1,0
Aplikasi gak jelas masa saat verifikasi gagal terus,1,0
Susah aplikasinya.. Ngurus Apa apa harus online kasian untuk orang2 yang gapunya hp.. Saya datang ke capil disuruh download apl ini bukanya dipermudah malah dipersulit.. Dari 3 hr lalu gabisa dibuka tiap tabnya selalu warna putih.. Tolong untuk pegawai pemerintah mohon dengan sangat jangan dipersulit..,1,0
Tidak membantu sama sekali....payah,1,0
Gagal buat akun padahal ktp e yg buat pemerintah....lucu apk nya,1,0
Lambat sering error,2,0
ra mutu,1,0
Cctv gak bisa terbuka....barusaja pembaharuan,3,0
KENAPA SAAT AKU MAU MASUK KE APK KADANG KADANG GAK BISA . TOLONG DI PERBAIKI YA,2,0
"Semua diarahkan ke aplikasi , sedangkan aplikasi belum siap , saya daftar vaksin tidak ada pemberitahuan sms, ada pemberitahuan lewat aplikasi tapi di sore hari hari , padahal vaksinnya siang , trus untuk penjadwalan ulang vaksin kapan ? Diaplikasi untuk pembatalan tiket vaksin aja tidak ada respon sudah ada 1 minggu. Trus saya jadi tidak bisa ikut vaksin di lain tempat , tolong ini min direspon",1,0
Semoga lebih baik lagi,3,0
Mau daftar trs mau login tp kk susah gk bisa2 padahal data sudah sesuai Kartu Identitas,2,0
"Akses sering error,cukup mengecewakan",2,0
Tiap masuk wifi pemkot mental terus,1,0
"Lek tulong, daftar baru trus udah dapet link tp bar di klik loading terus""an, gaiso login njuk nek arep ngurus opo"" kudu login. Njuk aku nginstal iki gunane kur ngebaki memori?",2,0
Ra genah masa server pemerintah eror bug sperti ini... Gimana ini programer nya .? Bisa di BUG HUNTER sama Hacker kecolongan data dah,1,0
Gila parah bgt daftar buat ngurus perubahan data aja lama bgt dah dicoba sampek berkali kali tetep aja gak bisa padahal udah pake wifi sampe 2hari parah bgt sampek dateng ke balkot juga ttep gak bsa harus pake jss astagaa gak kelar2 urusan,1,0
"Saya kecewa padahal saya asli orang Jogja dr kecil,tapi pas saya daftar katanya nik saya bukan orang Jogja ğŸ˜­ğŸ˜­ğŸ˜­ğŸ˜­ğŸ˜­",2,0
"Aplikasi msh sering trouble,jd msh perlu disempurnakan",3,0
"Jelek dan sering troble jss, terlihat pemerintah kota sendiri seperti tidak siap dan terkesan di paksakan, dari infrastruktur pendukung, kualitas sdm untuk pengembangan dan perawatan tidak mumpuni di bidangnya. Saran kedepan pemerintah harusnya berfokus pada skil, pengalaman ataupun keterampilan dalam perekrutan SDM, jangan cumua ijasah dan test tertulis doank, karna teori sama praktek beda jauh, kedepan pemkot harus berkaca dari luar negri mereka tidak berfokus pada ijasah tapi skil.",1,0
"Aplikasinya sama sekali gak ngebantu...mau login ke linknya ajha susah bener, tulisannya terjadi kesalahan terus, sama gak bisa dibuka.. Tolong apliaksi nya diperbaiki lagi, agar memudahkan masyarakat, sama saja kalau ada aplikasi jss tp tidak bisa digunakan..ujung""nya harus ke balkot jga...",2,0
Payah susah buat login,1,0
Lama prosesnya,1,0
Bauk,3,0
Aplikasi rusak,1,0
Siiip,3,0
Kurang bagus...,2,0
Sudah 8x percobaan mengisi dan meng-upload berkas....sinyal selalu gagal tersambung...!!!!!! Aplikasi cacat..!!!! Pdhal sinyal aman2 saja buat yang Lain.,1,0
Saya Jafar Nurrohman tunanetra dari Jogja Mohon maaf untuk Jogja Smart Service untuk tunanetra sangat tidak membantu karena banyak sekali fitur-fitur yang tidak di bisa dibuka oleh layanan t a l k b a c k demikian harap dijadikan Pirsa dan Mohon untuk diperbaiki dan disempurnakan kembali,1,0
Gakk bisaa terusss !!!,1,0
Sudah 4 hari daftar masih muter aja blm bisa masuk aplikasi parah jelekny,1,0
Diinstal susah banget..bolak balik ke menu..setelah terinstal aplikasinya tidak muncul di layar hp,3,0
"Ini mau daftar KTP malah nge direct ke website, tapi di website diarahkan lagi untuk daftar via aplikasi... Mubeng2 jal",1,0
"Buat 4 akun Sudah 2 hari cuma muter semua belum bisa di gunakan , mohon di perbaiki apanya gitu biar proses pendaftaran ya bisa lebih cepat, kalo belum siap pakai aplikasi mending pakai WA aja dulu kaya kemarin",2,0
JSS nya sering tdk konek...ğŸ˜“ğŸ˜“ğŸ˜“,1,0
Aplikasi gak guna sudah terdaftar tp suruh login terus aneh tolong di perbaiki,1,0
"bosok, g guna, daftar ajah dpersulit",1,0
kok tidak bisa lihat full balasan dari pertanyaan saya ?,2,0
"Ngurus akta kematian dipersulit... Datang langsung ke dukcapil, disuruh daftar dulu lewat jss.. ini maunya gimana? Sedangkan jss sendiri banyak masalah... Bayar yg banyak gih buat developer nya.. biar kerjanya bener.",1,0
"Tidak ada yg bisa menjelaskan, yg jawab robot, untuk saya yg sudah lansia tidak jelas, monggo diperbaiki ada cs yg bisa dihubungi",1,0
pas mau masuk kenapa minta verifikasi trus si,3,0
Stop working di tablet Lenovo saya,1,0
"Mau daftar kok susah bgt muter"" trs ke menu utama ğŸ˜–",2,0
"Mosok warga luar kota jogja, ndak bisa mendaftarkan ortu yang tinggal di kota mau periksa di puskesmas kota",1,0
"Mau update data perkawinan ya Allah ampe dari bulan lalu dicoba trus g bisa , masukin foto kk dll g bisa ğŸ˜£ pusing aing",1,0
Masuk susah terlalu rumit sudah bikin akun usser sama password sudah bener tetep aja salah kecewa,1,0
Gak bisa login,1,0
"Minta tolong diperbaiki untuk aplikasi dan sistemnya, terutama di tahap pendaftarannya trouble sekaliğŸ˜­",3,0
Aplikasi koq banyak error nya,2,0
"Belum bisa menggunakan jss ,carane",1,0
aplikasi nya kurang bagus karena tidak bisa pakai wifi,1,0
lambat,1,0
Udah lama-lama buat akun cek pbb sleman malah ga bisa. Kirain punya provinsi ternyata cuma sebatas Kota Yogyakarta doang. Mending langsung cek e-commerce,1,0
sdh aku daftar berulang kali ttp nggak bisa daftar ğŸ™„,1,0
"Kurang bagus, jelek, tidak bisa reset password",2,0
"aplikasibagus, menuju Jogja smart city, apk masih perlu perbaikan. salah satu contohnya seperti akses cctv belum bisa diakses.",3,0
"Udah daftar disuruh aktivasi ulang. Udah kirim pesan, operator nya online tapi gak ada responnya. 3 hari ditunggu ga di acc. Niat ga sih??",1,0
Gak bisa play CCTV min..udah coba ganti 5-6 titik CCTV sama semua error 'video can't be played'. Tolong segera diperbaiki min..thanks,3,0
Sama sekali tdk mmbntu..,1,0
Sangat membatu bagi warga jogya,3,0
Bintang 3 Dulu.. Kok gk bs Daftar Vaksin ya?? Katanya bs dipake tgl 10 Juli.. Ini dh tgl 04 Oktober.. Gimana cara nya??,3,0
Susah Untuk live CCTV.. Terlalu Berat Datanya untuk live.,2,0
Mau bikin laporan gangguan pdam gak bisa2.,1,0
Ikutan rating jelek aja,1,0
Lag WiFi,3,0
Susah mendaftar di jjs smart,3,0
Okay,3,0
"Aplikasinya bagus tapi, Kurang memuaskan karna akses layanan sy ditolak padahal saya sudah menjadi warga Jogja. Walaupun saya hanya warga pendatang. Tetapi saya sudah mencabut berkas dari daerah asal dan seluruhnya menjadi warga Jogja. Akses Layanan Akte kelahiran juga susah, padahal saya adalah ibu kandung masa harus lampiran surat kuasa. Tolong upgrate lagi Aplikasinya agar lebih baik lagi. Trima kasih",3,0
Aplikasi yang bagus. Sayang saya tidak bisa mengakses beberapa layanan karena ktp luar kota walau saya sudah beberapa tahun disini.,3,0
Respon chat livenya terlalu lama kurang fast respon,3,0
"Parah data gw nggak ada, tulisannya hubungi helpdesk untuk di daftar manual. Eh, helpdesk nya dihubungin malah nggak pernah respon. Nggak niat emang buat layanan. Atau emang belum siap. Sekelas Jogja kok layanan ITnya gini. Parah.",1,0
app apa ini. susah bgt mau login harus aktivasi ulang2. gabisa2.,1,0
"Sama sekali tidak ada manfaat,kemudahan dan ke simple an, malah bikin ruwet,mau daftar vaksin aja ruwetnya ampuuun..gak pernah di update. Perbaiki dulu dan bener2 profesional kalau mau bikin aplikasi. Maaf bintang 1 aja deh",1,0
Bagus,3,0
Sulit,1,0
susah nggak seperti yg di gembar gemborkan...,1,0
"kok ilang dewe. rajelas tenan. Parah ,raono balesan,sering err. Raiso otomatis. Ribet. Bajingan ra jelas",1,0
Sangat membantu,3,0
Mana muter2 terus,1,0
"ini aplikasi pemerintahan tapi mau buka kuk malah masuk iklan2, mohon diperbaiki",3,0
"update jss versi 3.0.123 terbaru wifi free hotspot tidak berfungsi d imanapun ,tolong diperbaiki",1,0
Pendaftaran vaksin tutup trs......,1,0
Sudah lebih baik,3,0
"pelayanan khusus warga jogja KOTA saja.. beda deskripsi sama di w.a (helpdesk) tertera ""melayani vaksinasi luar kota"" padahal saya hanya beda kabupaten saja",1,0
Syarat dan ketentuan kok bhs inggris....ra dong aku...ra sido,1,0
"Mau akses wifi gabisa. Padahal udah daftar, udah verifikasi, akun sudah jadi. Tp gabisa akses wifi Jogja.... Serasa dibohongi",2,0
"Untuk mengurus akta kematian saja, ribetnya minta ampun... Diulang berapa kalipun tetap ujung-ujungnya gagal",2,0
"Aplikasi kurang protektif untuk pengguna.... 1. Mau masuk daftar login no nik / usser name angka yg sesuai identitas sya kok bisa sudah dipakai orang lain,, seolah data pribadi kita bisa diliat di aplikasi ini 2. Sya yg asli malah gak bisa daftar karena dipakai pengguna lain, disuruh masukan nik yg lain, tpi malah muncul identitas oramg lain lagi, hadeuhhhh",1,0
Gmn si ni apl tiap login ke wifi gk bisaaa,3,0
TRASHHHHHHHHHHH,1,0
Gak guna mi,1,0
Aplikasi belum maksimal,1,0
Setelah diupgrade malah tidak bisa dibuka...hapus saja tidak bermanfaat menghabiskan kouta sajağŸ˜¬ğŸ˜¬,1,0
"mau registrasi aja lama,dari pagi sampe siang masih aja dlm proses",3,0
Pelayanan tidak memuaskan malah makin lama,1,0
"notif ganggu banget, suaranyaa nyebelin TENG TENG TENG TENG TENG apa lagi kalo pas lgi kumpul2 kerja miting malah jadi malu ditambah notifnya gabisa ilang di atas",1,0
Sudah memakai jaringan yang cepat pun pemuatan aplikasi masih sangat lambat. Tolong diperbaiki,2,0
"Kurang terintegrasi dgn keseluruhan sub sistem, mkshğŸ™",2,0
"Bagi yang tidak bisa login maupun susah daftar atau masalah lainnya, langsung aja hubungi JSS di help desk",1,0
Login tidak bisaaaa.,1,0
"Layanan daftar online, tapi jam kerja cuma sampai jam 12.00, selebihnya ditolak. Nek males, golek penak, rasah kerjo sisan wae mas. Turu wae ning omah penak.",1,0
Kenapa free hotspot skrg gabisa login,1,0
terlalu lamban,1,0
Gagal trs di proses akhirnya .sulit bgt,3,0
kenapa ya dari awal sampai sekarang ini lebih sering tidak bisa membuka aplikasi dengan alasan karena dalam perbaikan....,2,0
Bagusss sih bisa utk acuan,3,0
"Katanya Smart sevice, tapi bagian CCTV ga bisa di akses. ğŸ™„ğŸ™„",2,0
"Aplikasi Bagus, mungkin bisa cari penyedia layanan hosting yang lebih baik dan ternama agar tidak terjadi down ketika banyak user yang akses",3,0
"Aku gak instal dulu, soalnya dr reviewnya aja aplikasi ini belum beres",1,0
Tidak bisa login,1,0
semakin bagus dan komunikatif,3,0
"Bolan-baleni nglebokke NIK dan sesuai prosedur tapi gagal masuk... Uninstall meneh, semoga ada perbaikan. Tetep semangat & ikhlas melayani masyarakat nggih...",1,0
"tidak bisa di operasikan setelah di upgrade ke jss yg baru,,,",1,0
"tidak bisa daftar,tombol daftarnya ridak kelihatan dan tidak bisa di scroll ke bawah. mohon perbaikan, terima kasih",2,0
Mau update malah mandek ditengah jalan alhasil macet,3,0
Masuk ke registrasinya lama bnget ya,3,0
Membalas pesan Membuat pengaduan Hampir semua tidak bisa diakses dengan keterangan hanya untuk warga kota jogjakarta.. Padahal dengan jelas data yg saya punya untuk mendaftar juga ktp kota jogja.. Mohon diperbaiki,1,0
Mohon untuk akses cctv dapat dibuka untuk agar pengguna dapat maksimal dalam menerima manfaat aplikasi ini,3,0
Di klik go bisa2,1,0
selalu tambah inovasi baru,3,0
"Kok pas lagi mau ngeseks WiFi nya malah di suruh login padahal saya sudah login akun jss, kok jadi ke log out sendiri ya, tolong di perbaikin ya ğŸ™ğŸ™ğŸ™",2,0
Prek apl eror eror buat aplikasi yang bener nunggu kelamaan as buh. Gimama Indonesia dan jogja mau maju jika seperti ini,1,0
Ini kok fitur nya membingung kan ya ... Loading nya lama bgt trs kurang jelas juga ..,2,0
Ealah,1,0
Terlalu ribet saat login,1,0
Katanya ada PBB ternyata tidak ada,1,0
Gk bisa di gunakan mhin di tingkatkan,1,0
