content,score,sentimen
"teruntuk developer apk JSS Apk y uda gud,tampilan y ok simpel mudah d mengerti. E tapi Fungsional apk sangat kurang 1.Isi formulir malah di alihkan ke browser 2.Nomor Pengaduan yg tertera no respon",1,0
"aplikasi rusak..sebagai warga jogja kecewa sih,niat pngen lewat online tp mlah aplikasi.nya eror gini..ujung""nya harus ke balkot urus manual",1,0
TibaÂ² keluar dan masuk lagi gak bisa padahal akun dan password sudah benar...dan sebelumnya upload identitas gak bisa terus...piye to iki...aplikasi sudah siap belum,2,0
Masih bagus sama aplikasi sebelumnya. Diupdate malah makin eror..,1,0
",aplikasi cuma buat penipuan biar cepat habis kuwota anda, Jngn Download aplikasi ini brooo",1,0
Good,2,0
Presensi berjalan krg lancar krn sering terganggu,3,0
"Kenapa saya pakai Aplikasi di android redmi note 10 pro tp utk fitur pendaftaran vaksinasi tidak bisa saya akses, tp kalau masuk dr smartphone yang lain bisa",1,0
Gak bisa daftar.,2,0
Dipake buat lihat pajek bangunan gak bisa,1,0
sedikit2 didandani... :(,2,0
Verifikasinya lamaaaaaaaaaaaa,1,0
Sepertinya hnya bisa diakses untuk keperluan jam kantor,2,0
"Baru sampai pada proses pendaftaran saja sudah rumit dan ribet harus menggunakan swafoto dan swavideo dengan KTP. Niatnya mau mempermudah malah rumit, proses verifikasi dari kominfo memakan waktu 2 hari.",1,0
"Aplikasi pemerintah, tapi pelayanan dari Kominfo kurang fast, mohon maaf, saya mau mendaftar dan verifikasi nya sangat lama dari tim Kominfo nya, mohon bisa di perbaiki lagi kinerja nya karena merupakan pelayanan masyarakatğŸ™ğŸ»",1,0
"Habis update tidak bisa diakses, Mohon diperbaiki, Web juga tidak bisa diakses",1,0
Aplikasi gak stabil Lelet,1,0
"Aplikasi bagus, tapi tolong dibuat lebih simple, niatnya mau canggih tapi malah bikin emosi masal. Karena gak semua orang mudah memahami aplikai ini. Buat it nya selamat kerja keras, kalau tidak sanggup silahkan mundur biar diganti yang lain yang lebih siap.",1,0
Aplikasi kurang sempurna,1,0
"Hebat sekali pelayanan publik dukcapil kota jogja!!! Untuk penggantian KTP rusak melalui JSS dibutuhkan waktu 3 hari lebih, benar benar MAKAN GAJI BUTA. sekedar perbandingan saja penggantian KTP rusak di drivetrue dibutuhkan waktu 10 menit. Lewat aplikasi JSS dibutukan waktu 6X24 jam. Memang yang dilayani bukan hanya saya tapi apa juga selama itu juga proses pengajuan saya???!!!!",1,0
Status propil dari ketua RT menjadi warga sudah registrasi ulang tapi belum berhasil,3,0
"mau daftar free hotspot susah, udah download sertifikat personal pas mau ekstrak hrs masukin pass akun jss tapi salah trus ga bisa pdhl uda bnr pass akun nya",3,0
"Aktivasi ulang tidak pernah bisa,",1,0
Sering gagal nyambung ke wifi,1,0
Kok tidak bisa dipake?,1,0
Angel sebagian tempat ko mengunakan catphe untuk masuk di kecamatan kelurahan di akses pun susah jare fasilitas go warga kota tapi gak iso guna cm sinyal tok sek jebak arep login ura iso .......,2,0
"Membantu, tapi sekarang jjs hotspot saya nggak bisa dipakek, diotak-atik nggak ada hasil",3,0
Percuma.. tdk bisa dipakai.. selalu error.. dihubungi ke no helpdesk(WA) tdk ada respon.. dibacapun nggak.. jogja mmg istimewa??? Auto delete..,1,0
"Tolong presensi online di mas test dulu, sebelum di launch, terimakasih",1,0
VÅºxpb,3,0
tidak bisa registrasi tolong di perbaikin developers bug swavideo error,2,0
Sulitnya mau login... Gak jadi aja aah.... Sudah dapat WA...tapi di klik gak ada opsi apapun,1,0
Gk bisa login wifi woi,1,0
Mau login aja ribett banget dan lamaa,1,0
CCTV ga bisa dibuka. Padahal paketan lancar jaya. Ini sih murni dari Aplikasinya,1,0
Susah login pendaftaran vaksin,1,0
Kok ga bisa didownload yaa????,1,0
Ribet.enak langsung datang ke kecamata selesai,1,0
"Tidak bisa mendaftar, keterangannya KTP tidak terdaftar, padahal jelas KTP dr pemerintah.",1,0
notifnya bikin kaget ğŸ˜‘,3,0
kurang baik,2,0
"Dishub, layanan angkutan umum, blm ada di aplikasi ini",1,0
Agak susah sinyalnya,3,0
"Sebenarnya aplikasi yg bagus dan sangat bermanfaat, Hanya layanan aplikasi bisa ditingkatkan lagi , pilihan font huruf kurang besar , kalo ada opsi pilihan huruf lbh bagus lagi bikin betah sering2x berkunjung dimari . Apalagi ditambah mode gelap , lbh mantap . ğŸ‘ğŸ˜",3,0
"Cctv tidak bisa di play min, error cctv nya. Jadi tidak bisa memantau sikon jalan seperti apa",3,0
"Update terbaru (2 juni 21), aplikasi lemot, daftar antrian puskesmas mental ke halaman beranda saat upload bpjs. Mohon di benahi. Maturnuwun",1,0
"Untuk fitur Live chat JSS respon nya kurang cepat dan kadang respon nya membingungkan karena yang membalas chat nya menggunakan bot. Harusnya admin live chat JSS dari sumber daya manusia yang ada di Diskominfosan saja, agar pertanyaan masyarakat dapat dijawab secara jelas.",2,0
"Saya bukan pegawai, tp disuruh update JSS",1,0
WiFi kok tidak ada akses internet terus,3,0
Astaghfirulloh.. Mau log in susahnya ampun deh,1,0
oke tak coba dulu,3,0
MUH NURiZZA,2,0
"Pelayanan online masih berantakan banget, ngurus KK baru ribetnya minta ampun, admin wa nya juga slow respon banget, cari pegawai yang kompeten lahh",1,0
Mohon disempurnakan fitur absensi otomatis yang terbaru tidak berjalan dihp kami yg ada di sekolah kemarin dpt info dr salah satu pegawai dinas pendidikan bisa tetapi setelah kami coba tdk bisa berjalan triamakasih,1,0
"App OP bangat , selalu gak bisa di pakeğŸ‰",2,0
Respon lambat msh banyak troubel,1,0
Sekarang sering eror mau absen harus updet terus dari kemarin,3,0
Kok mau gabti foto aja di browser gk bs,1,0
Regrestasi lambat,1,0
Sering trouble,1,0
"Untuk log in selalu ber masalah, dari segi login bagus beda dgn wifi2 lain tapi yang ini kurang akurat log in keseringan gagal, pake data untuk log in juga sama ğŸ˜– mohon tinjau ulang kak akses tersebut",1,0
Maaf sebelumnya...tolong untuk pegawai yg ikut jam kerja shift terutama masuk sore untuk jam kepulangan diberi jeda/spaleng waktu untuk absen dan tolong mengenai jadwal kami yang sering trouble dan tidak dapat melakukan absen...mohon untuk dibenahi lg karna kami sebagai pegawai yg dirugikan padahal kami sudah melakukan kewajiban kami untuk memenuhi jam kerja,1,0
Erroorr terooss. Sialllll,1,0
Mohon maaf ini kenapa aplikasi nya tidak bisa digunakan ya? Saya pencet apapun yg ada di menu tidak bisa. Mohon bantuannya.,2,0
tambah cctv area piyungan ketimur/ kearah wonsa,3,0
On,2,0
"Tolong registrasi di permudah dong, ga usah ada vermuk, yg kamera nya jelek susah mau daftar",3,0
"Gak pernah bisa masuk, pusing sampek an .. ini sebenarnya bisa di pake gak sih???",1,0
"Judulnya ""Aplikasi untuk memudahkan masyarakat dalam memperoleh layanan-layanan yang telah disediakan Oleh Pemerintah Kota Yogyakarta"". Tapi faktanya setiap mengajukan pertanyaan saja tak pernah ada tanggapan/balasan. Memudahkan darimananya ???",1,0
Ada fitur CCTV tapi ga bisa dilihat,2,0
BELUM PROFESIONAL,1,0
"Tolong dong dibikin widget buat presensi online nya, biar langsung dapat diakses di home screen. dan satu lagi tampilan home nya jangan berat2, hp kentang jadi lemot makasih... #karyawanpemkot",2,0
apl bsk,1,0
Tidak bisa untuk membuat laporan...,1,0
"aplikasi apaan ini,mau ganti nomor hp gak bisa.aneh",1,0
"Aplikasi yang baik. Masih belum bisa digunakan, isi konten nya masih banyak yang belum bisa dioperasikan atau masih kosong. Saya punya harapan besar aplikasi JSS ini akan bisa membantu banyak kebutuhan. Terima kasih.",3,0
"Mengurus kepindahan KTP saja dipersulit dan diarahkan aplikasi yg sepertinya tidak siap, niate online malah ora efektif",1,0
"tolong diperbaiki lagi, nyambung wifi buat buka situs situs lainya ga bisa trus,main youtube aja dipersulit",1,0
"Maaf,pernah masang aplikasi ini..tapi setelah jarang saya buka mau masuk lagi kok susah? Padahal sudah terdaftar dulunya..",2,0
Kok jadi susah ya,1,0
Bagus,1,0
Rasis sekali vaksin kebanyakan nik JOGJA tidak adil buat pendatang KALIAN TIDAK ADA WARGA PENDATANG WISATA & PENDIDIKAN KALIAN TIDAK AKAN BERKEMBANG INGAT!,1,0
"Aplikasi dibuka blank, apa dalam perbaikan?",2,0
Banyak berita yang saya dapat dari jss,5,1
Sangat membantu dan lengkap.,5,1
Aplikasinya sangat membantu dan bermanfaat bagi masyarakat dan ASN,5,1
Bagus,5,1
sangat membantu dan aplikasi sangat lancar no lag dan no iklan ğŸ‘ğŸ˜ jos pokoe,5,1
"Mantap sangat membantu, tapi klo boleh kasih saran d setiap sudut jln yg d rawan kejahatan d pasang cctv atau perlu semua kota dn desa supaya bisa termpantau monitor dn bisa langsung memberi tahukan polisi, dn sangat membantu jika criminal melarikan diri bisa terpantau posisinya",5,1
Sangat membantu masyarakat jogja,5,1
Cepat tertangani,4,1
Oke,4,1
"Mantap sekali, baru kali ini ada aplikasi all in one",5,1
Lancar akses jss,5,1
memudahkan warga mengakses informasi,5,1
Aplikasi bagus....,5,1
Sangat membantu sekali. Mantap,5,1
Ok,5,1
cocok buat warga jogja,5,1
Luar biasa,5,1
Alhamdulillah aplikasi ini memudahkan kinerja pegawai dan warga kota jogja. Cuma masih sering ada kendala pada saat waktu presensi...,5,1
Mantap dan manfaat,5,1
Penting dan bermanfaat,5,1
Sangat membantu kami dalam memantau anak,5,1
Bagus,5,1
Aplikasinya membantu bagi Masyarakat dan ASN di lingkungan Kota Yogyakarts dalam hal pelayanan dsb.,5,1
sangat mudah,5,1
mantab,5,1
Keren dan mudah serta cepat menambah informasi,5,1
Ok,5,1
Peningkatan pelayanan prima kepada warga kota yogyakarta.,5,1
Sebuah inovasi yang sangat membantu,5,1
Bagus,5,1
"Bermanfaat sekali, tingkatkan",5,1
Sangat membantu aplikasinya,5,1
Bermanfaat dan bermartabat,5,1
Ok banget warga jadi tahu info nya,5,1
Mantul,5,1
Baik,5,1
Aplikasi yang berisi semua pelayanan pemkot jogja.. Semua layanan terintegrasi disini.. JSS Josss,5,1
Siip,5,1
"mantab dech,, sangat membantu",5,1
Mempermudah aktivitas pekerjaan,5,1
Ok ok ok ok,5,1
siip,5,1
"Aplikasi lengkap, cepat, dan mudah digunakan. Info terkini juga dapat segera diakses oleh masyarakat melalu aplikasi ini. Semoga dapat berkembang menjadi lebih baik lagi.",5,1
Sangat membantu orang tua dan warga jogja,5,1
Bagus,4,1
Aplikasi yg bagus,5,1
Mantap,5,1
Top bgt,5,1
"Semoga lebih meningkat supaya lebih cepat loadingnya, namun tetap ringan di gadget.",5,1
"Aplikasi ini sangat bermanfaat dan membantu masyarakat karena bisa di akses dimana saja, menunya juga lengkap",5,1
Aplikasi yang sangat membantu kami warga kota Yogyakarta...ğŸ‘ğŸ‘,5,1
"Jooozzzzz....,ğŸ‘ğŸ‘ğŸ‘ğŸ‘",5,1
"Lambat, pake kuota maupun wifi",5,1
Tak Perlu Ragu Jadi Profesional & Jangan lupa bahagia hari ini...,5,1
Ya baik,5,1
Aplikasi sangat bermanfaat.... Keren,5,1
Jos,5,1
Sangat bagus & sangat membantu memudah kn mendapat kn layanan kepemerintahan,5,1
Udah bagus,4,1
Love it,5,1
siip,5,1
Memudahkan berbagai macam pelayanan,5,1
Mantap banget bosku,5,1
ok,5,1
Belum pernah mempergunakan saja,5,1
Bagus bermanfaat,5,1
oke,5,1
Kok habis up date aplikasi ini.trus ga nyambung ada notifkasi aplikasi terhenti tunggu laporan,5,1
"aplikasi sangat membantu dalam urusan urusan kependudukan dan lain lain, dan tidak banyak memakai ruang penyimpanan dalam handphone",5,1
Bagus,5,1
"memudahkan, semoga terus upgrade lagi dengan fitur2 terbaiknya ya",5,1
top,5,1
Bisa mendapat info lbh lengkap!,5,1
Coba instal dulu. Aplikasi yg bagus buat warga Jogja.,5,1
semakin mudah semakin nyaman,5,1
Memudahkan pelayanan internal pegawai pemkot dan layanan publik kepada masyarakat. User interface juga friendly user ğŸ‘ğŸ½ğŸ‘ğŸ½,5,1
Mantap.,5,1
Selalu tingkatkan layanan ke masyarakat dgn cara yang lebih simple dan mudah. Mtr nwn,5,1
Mantappp bagus,5,1
praktis dalam penyampaian keluhan dan meresponnya cepat,5,1
Sangat bermanfaat bagi masyarakat Kota Yogyakarts,5,1
ğŸ‘ğŸ¼,5,1
"cepat, tepat, manfaat ğŸ‘",5,1
ğŸ‘ŒğŸ‘ŒğŸ‘ŒğŸ‘ŒğŸ‘ŒğŸ‘Œ,5,1
Mungkin untuk cctv area sleman dan tempel bisa ditambahkan,4,1
Sangat membantu,5,1
Bagus dan sangat membantu warga Saya sebagai warga kota jogja sangat bangga dengan aplikasi jss ini...,5,1
aplikasi sangat bermanfaat,5,1
Alhamdulillah lumayan,4,1
Ok lumayan membantu..,5,1
Kami membutuhkan info masuk PTN dan PTS,5,1
Optimal,5,1
Jozzzzz...,5,1
Mantap...pelayanan makin mudah..ğŸ‘ğŸ‘,5,1
Saya ingin buka jogja smart service dengan cepat,5,1
"Aplikasi ini sangat bermanfaat, akan tetapi ketika saya akan mengklik layanan dukcapil terkhusus pembuatan akta tidak bisa diklik atau tidak tersambung ke webnya... Entah hape saya yang bermasalah atau bagaimana? Mohon pencerahannya.",5,1
Bagus,5,1
Lancar oke,4,1
"Dari nenek, ayah,ibu dan saya lahir dan tinggal di jogja sejak kecil....KTP DIY kok di aplikasi terbaca warga luar kota,apkikasinya yg salah atau data dukcapilnya yg salah ya....mohon penjelasanya....terimakasih",4,1
Kok presensi hilang jeh,5,1
Jogjaku istimewa,5,1
Bagus aplikasi untuk pelayanan masyarakat,5,1
Bagus & informatif,5,1
Sempurna,5,1
"Unggah foto ktp buat pendaftaran kartu kuning kok ga bisa i piye? Mohon dijawab, terima kasih",4,1
"Saya belum pernah vaksin, bagaimana caranya",5,1
Ok sipp,5,1
Wait,5,1
Bagus,5,1
Aplikasi yg baik satu untuk semua,5,1
tobat aplikasine marai mumet,5,1
Info jogja cepat Info darurat tersedia,4,1
Mempermudah akses komunikasi orang jogjağŸ˜Š,5,1
bagus,5,1
Aplikasi satu untuk semua,5,1
Susah gabung,5,1
Absen gak bisa padahal dah di kantor.,4,1
Bisa membantu kalau ada kerusakan,5,1
Siap,5,1
Bagus,5,1
Lancar,5,1
Good,5,1
Sangat terbantu sekali oleh aplikasi JSS,5,1
Bagus,5,1
Mengapa layanan buat surat pengantar di versi yg baru malah sudah tidak ada lagi daftar warga yg akan dibuatkan surat pengantar? Padahal ini sangat membantu bagi warga yg tidak punya HP Android apalagi aplikasinya. Mohon perhatian nya.,4,1
Keren kerja cepat dan tepat,5,1
Memuaskan,5,1
Aplikasi yang bagus mantab good job,5,1
siiip,5,1
"moga2 gk ribet biar bisa menggatikan data pishik, bismillah mugo2 iso gunakr",5,1
Segala sesuatu tentang Jogja serasa dalam satu gengaman,5,1
Josss,5,1
Mantapp..!!,5,1
Mantap,5,1
Bagus,5,1
Pemkot jogja is the best,5,1
Bagus,5,1
Maju terus Jogjakita,4,1
Jossss.,5,1
Bagus,5,1
Bermanfaat,5,1
Nice,5,1
Good aplikasi,5,1
Kota Yogyakarta Istimewa,5,1
Semoga berguna biasa jd penyambung lidah rakyat Jogja,5,1
Sangat membantu,5,1
good,5,1
Aplikasi JSS memang smart,5,1
Ok,5,1
mudah,5,1
Aplikasi satu untuk semua,5,1
Mantap. Tingkatkan terus aplikasinya,5,1
Semoga kota Jogja semakin maju,5,1
kota Jogja sekarang makin bagus penataanya terutama wilayah Malioboro,5,1
Bagus,5,1
klk mau liat cctv Jogja di gogle jg ada loh,5,1
Maaf ini layanan antrian rs pratama kok tidak bisa diakses ya?,4,1
Bagus,4,1
Dengan adanya Aplikasi JSS lebih mempermudah untuk berbagai informasi dan pelayanan yang dibutuhkan masyarakat,5,1
Semakin kesini sudah semakin bagus... Semoga makin banyak manfaat bagi warga jogja,5,1
"Kini, semua bisa dalam genggaman. Maju terus kota Jogja â¤",4,1
Aplikasinya sangat membantu untuk pembuatan akta & KIA,5,1
Jos ğŸ‘ kota Jogja maju terus menuju smart city ğŸ¤©ğŸ’ª,5,1
Aplikasi bagus mantab sangat informatif dan sangat bermanfaat,5,1
Mempermudah sistem pelayanan pegawai maupun masyarakat,5,1
Harus pakai aplikasi ini untuk pelaksanaan kerja sehari-hari di Kota Yogyakarta,5,1
Siip update selalu.. cari bug nya biar jossss,5,1
"Terimakasih,",5,1
Bagus,5,1
aplikasi yang terintegrasi . semua pelayanan ada dalam satu aplikasi,5,1
Mantap sekali coy ğŸ‘ğŸ™ğŸ‘,5,1
Bagus,5,1
Sangat bermanfaat dan membantu dalam layanan kepada Masyarakat dan Pegawai,5,1
Bener2 melatih kedisiplinan....,5,1
Keren,5,1
"Maaf hari ini Senin 22 Juni 2020 saya tidak bisa melakukan presensi online, tidak diketahui sebabnya, tetapi pada tampilan halaman presensi online tidak ada opsi masuk. Apakah nanti ada klarifikasi? Karena presensi online adalah bukti masuk kerja yang diakui.",5,1
Mantul,5,1
Saya sfh ikut,5,1
Mantap,5,1
Ok,5,1
Perlu peningkatan,4,1
"Pelayananya ramah, cepat, tempatnya nyaman bgt...anak2 friendly... Bisa ngprint dokumen sndri.. Ada layanan wifi gratis.. Mantep..ğŸ‘",5,1
JSS MEMUDAHKAN PELAYANAN PABLIK SEPERTI KIR UJI EMISI KENDARAAN . LAYANAN KEPENDUDUKAN. ADUAN. JAJANAN DAN LAIN LAIN POKOK NYA JSS OKE DEH,5,1
Good,5,1
Penuh perjuangan dan kesabaran,5,1
Penting sekali,4,1
Well,5,1
Memudahkan dalam pengurusan kependudukan,5,1
Aplikasi mantap...sangat bermanfaat untuk masyarakat Kota Yogyakarta.,5,1
"Ada nya aplikasi jss begitu sangat membantu warga Jogja, seperti pengurusan KTP, KK, akta lahir dll, demi kenyamanan warga Jogja mohon terus dikembang kan",5,1
Bagus dan sangat membantu.. Sejauh ini belum ada kendala dalam pengguan aplikasi :),5,1
Mantap. Tingkatkan terus aplikasinya,5,1
Ok,5,1
Dengan jss layanan untuk pegawai dan masyarakat kota Jogja dan luar jogja semakin baik dan mudah..matur nuwun,5,1
Bisa bikin akte kelahiran? Masukin anak ke kk? Tanpa surat pengantar rt rw?,5,1
Aplikasi yang sangat bermanfaat dan lengkap. Semoga kedepannya semakin oke,5,1
Aplikasi untuk semua,5,1
Pelayanan sangat baik,5,1
"Aplikasi nya mantaapp. Sesuai dengan namanya smart service, semoga ke depan makin di perbaiki lgi sistem yang masih kurangğŸ‘",5,1
apik,5,1
"mantul, fast respon",4,1
"untuk aplikasinya bagus tapi tolong di tambahkan beberapa stasiun tv misalnya adi tv, jogja tv, kresna tv dan stasiun televisi yg ada di diy.",5,1
Saya menulis ini.. Masih muyer muyer gak mau di download...,5,1
Sip lah,5,1
Ok,5,1
Susah dibuka,4,1
Sangat baik,5,1
Ok,5,1
Cepat memberi tanggapan,5,1
ğŸ‘sngt membantu,5,1
Cctv lancar...mantap buat mantau keadaan,5,1
sangat membantu. usefulllll,5,1
Aplikasi yang sangat keren,5,1
Bermanfaat sekali untuk masyarakat Kota Yogyakarta,5,1
Aplikasinya Apik Tenan,5,1
Apik neh Nek hp jadul Yo iso lancar. Mesakke para pinisepuh sing hp ne kalah karo anak putune,4,1
Cctv'nya sekarang susah dibuka,5,1
"Aplikasi yg sangat membantu dan memudahkan masyarakat untuk urusan"" Penting",5,1
Penanganan cepat tapi tingkatkan lagi biar lebih baik,5,1
Sangat membantu,5,1
bagus banyak membantu,5,1
Perlu perbaikan,5,1
Gimana cara login WiFi free hospotnya?,4,1
Sangat bermanfaat,5,1
Aplikasinya sangat membantu mempermudah mendapat pelayanan publik dari pemerintah kota yk,5,1
Bagus sekali,5,1
Bagus,5,1
Sangat bermanfaat sekali aplikasi JSS semoga ke depan bisa ditambah fiturnya,5,1
Top,5,1
"Tolong untuk info pendaftaran vaksin diberi keterangan DOSIS KE BERAPA, agar tidak bingung, TERIMAKASIH",4,1
Aplikasi yang membantu untuk warga kota Yogyakarta. ğŸ‘,5,1
Sangat bermanfaat,5,1
trus ber semangat,5,1
",, yg j",5,1
Mudah di operasikan,5,1
"Aplikasinya oke, sangat membantu",5,1
Makin canggih dan berjaya,5,1
Ok,5,1
Ok,5,1
"Aplikasi yang bermanfaat, baik bagi warganya maupun pegawainya",5,1
"Makin mantabs Aplikasi JSS sekarang, makin banyak aplikasi layanannya, makin stabil aplikasi didalamnya, serta tampilan yang makin oke punya, semangat ya temen-temen semoga aplikasi ini bermanfaat untuk masyarakat umum dan kota jogja pada khususnya.",5,1
lumayan enteng aplikasinya,5,1
Jos,5,1
"Menu laporan saya tidak berfungsi ,tidak ada data muncul",5,1
"Aplikasi pintar,, banyak manfaat",5,1
Mantab,5,1
Alhamdllh,5,1
Bagus sip bingit....,5,1
Pelayanan ramah dan dibantu dalam pengarahan. Pertahankan pelayanan.,5,1
Kembangkan lagi,5,1
Mantap sekali boshe,5,1
Keren...,5,1
Sangat bermanfaat.,5,1
Mantap,5,1
"Satu untuk semua kebutuhan, tingkatkan lagi sistemnya biar kalau setiap akses bisa cepat loading nya. Terimakasih",5,1
Semoga makin bermafaat,5,1
Josssssh!,5,1
Semog lancar apa yang saya harapkan,5,1
Susah di download,5,1
well,5,1
Aplikasi ini sangat membantu masyarakat kota Yogyakarta,5,1
"Saya langsung beri bintang 5 tanpa basa basi, dari awal proses instalasi aplikasi, pengajuan permohonan, sampai pengambilan dokumen yang sudah jadi berjalan lancar tanpa kendala, permohonan perubahan KK secara online lsg jadi kurang dari sehari dengan pencetakan mandiri,permohonan KTP perubahan lsg jadi kurang dari setengah hari dan lsg bisa diambil ke loket mall pelayanan publik di balaikota Timoho..ada baiknya sebelum mengajukan permohonan yg diinginkan dpt disiapkan dokumenÂ² pendukung.",5,1
Mudah digunakan dan sangat membantu,5,1
"hebat,makin maju untuk Yogyakarta tercinta",5,1
memudahkan urusan,4,1
Info Kegiatan donordarah&pesan darah ke pmi blm ada ya?,5,1
Sangat bermanfaat dan komunikatif,5,1
Sangat bermanfaat dan membantu.,5,1
Menunya semakin komplit.....masyarakat semakin dimudahkan dalam mengakses layanan publik....top markotop Pemkot Jogja...,5,1
Berguna sesuai dengan nama aplikasinya sangat smart service,5,1
Inovasi yang sangat membantu dan fleksibel...mantap,5,1
Tjakep,5,1
Bagus,5,1
Top,5,1
"Sangat menarik, banyak informasi baru yang bisa diperoleh.",5,1
Bagus,5,1
ğŸ˜,5,1
Membantu masyarakat dalam layanan kependudukan dll,5,1
Bagus,5,1
Bagus,4,1
Sangat berguna dan aplikatif,5,1
Oke,5,1
Sangat terbantu saat pendaftaran vaksinasi covid19,5,1
Bagus,5,1
Maju trs Pemkot Jogja,5,1
sangat membantu!!!,5,1
Mempermudah pekerjaan,5,1
Apik,5,1
Keren lah,5,1
Good,4,1
Bagus membantu sekali,5,1
Mantap,5,1
sangat membantu,5,1
Akses Lebih cepat dari senjatanya korut,5,1
Sangat membantu warga yg ingin mengurus atau mengetahui banyak hal tentang kota Yogyakarta,5,1
Semoga bermanfaat,5,1
"Aplikasinya sangat membantu masyarakat, petugasnya ramah. Terimakasih",5,1
baik,5,1
Sangat membantulah,5,1
Belum bisa on,5,1
